ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Regiao,ID_Produto,Categoria,Nome_Produto,Valor_Venda,Quantidade
CA-2016-152156,2016-11-08,CG-12520,Consumer,United States,South,FUR-BO-10001798,Furniture,Bush Somerset Collection Bookcase,261.96,
CA-2016-152156,2016-11-08,CG-12520,Consumer,United States,South,FUR-CH-10000454,Furniture,"Hon Deluxe Fabric Upholstered Stacking Chairs, Rounded Back",731.94,
CA-2016-138688,2016-06-12,DV-13045,Corporate,United States,West,OFF-LA-10000240,Office Supplies,Self-Adhesive Address Labels for Typewriters by Universal,14.62,2
US-2015-108966,2015-10-11,SO-20335,Consumer,United States,South,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,957.5775,5
US-2015-108966,2015-10-11,SO-20335,Consumer,United States,South,OFF-ST-10000760,Office Supplies,Eldon Fold 'N Roll Cart System,22.368,2
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,FUR-FU-10001487,Furniture,"Eldon Expressions Wood and Plastic Desk Accessories, Cherry Wood",48.86,7
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,OFF-AR-10002833,Office Supplies,Newell 322,7.28,4
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,TEC-PH-10002275,Technology,Mitel 5320 IP Phone VoIP phone,907.152,6
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,OFF-BI-10003910,Office Supplies,DXL Angle-View Binders with Locking Rings by Samsill,18.504,3
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,OFF-AP-10002892,Office Supplies,Belkin F5C206VTEL 6 Outlet Surge,114.9,5
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,FUR-TA-10001539,Furniture,Chromcraft Rectangular Conference Tables,1706.184,9
CA-2014-115812,2014-06-09,BH-11710,Consumer,United States,West,TEC-PH-10002033,Technology,Konftel 250 Conference phone - Charcoal black,911.424,4
CA-2017-114412,2017-04-15,AA-10480,Consumer,United States,South,OFF-PA-10002365,Office Supplies,Xerox 1967,15.552,3
CA-2016-161389,2016-12-05,IM-15070,Consumer,United States,West,OFF-BI-10003656,Office Supplies,Fellowes PB200 Plastic Comb Binding Machine,407.976,3
US-2015-118983,2015-11-22,HP-14815,Home Office,United States,Central,OFF-AP-10002311,Office Supplies,"Holmes Replacement Filter for HEPA Air Cleaner, Very Large Room, HEPA Filter",68.81,5
US-2015-118983,2015-11-22,HP-14815,Home Office,United States,Central,OFF-BI-10000756,Office Supplies,Storex DuraTech Recycled Plastic Frosted Binders,2.544,3
CA-2014-105893,2014-11-11,PK-19075,Consumer,United States,Central,OFF-ST-10004186,Office Supplies,"Stur-D-Stor Shelving, Vertical 5-Shelf: 72""H x 36""W x 18 1/2""D",665.88,6
CA-2014-167164,2014-05-13,AG-10270,Consumer,United States,West,OFF-ST-10000107,Office Supplies,Fellowes Super Stor/Drawer,55.5,2
CA-2014-143336,2014-08-27,ZD-21925,Consumer,United States,West,OFF-AR-10003056,Office Supplies,Newell 341,8.56,2
CA-2014-143336,2014-08-27,ZD-21925,Consumer,United States,West,TEC-PH-10001949,Technology,Cisco SPA 501G IP Phone,213.48,3
CA-2014-143336,2014-08-27,ZD-21925,Consumer,United States,West,OFF-BI-10002215,Office Supplies,"Wilson Jones Hanging View Binder, White, 1""",22.72,4
CA-2016-137330,2016-12-09,KB-16585,Corporate,United States,Central,OFF-AR-10000246,Office Supplies,Newell 318,19.46,7
CA-2016-137330,2016-12-09,KB-16585,Corporate,United States,Central,OFF-AP-10001492,Office Supplies,"Acco Six-Outlet Power Strip, 4' Cord Length",60.34,7
US-2017-156909,2017-07-16,SF-20065,Consumer,United States,East,FUR-CH-10002774,Furniture,"Global Deluxe Stacking Chair, Gray",71.372,2
CA-2015-106320,2015-09-25,EB-13870,Consumer,United States,West,FUR-TA-10000577,Furniture,Bretford CR4500 Series Slim Rectangular Table,1044.63,3
CA-2016-121755,2016-01-16,EH-13945,Consumer,United States,West,OFF-BI-10001634,Office Supplies,Wilson Jones Active Use Binders,11.648,2
CA-2016-121755,2016-01-16,EH-13945,Consumer,United States,West,TEC-AC-10003027,Technology,Imation 8GB Mini TravelDrive USB 2.0 Flash Drive,90.57,3
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,FUR-BO-10004834,Furniture,"Riverside Palais Royal Lawyers Bookcase, Royale Cherry Finish",3083.43,7
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,OFF-BI-10000474,Office Supplies,Avery Recycled Flexi-View Covers for Binding Systems,9.618,2
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,FUR-FU-10004848,Furniture,"Howard Miller 13-3/4"" Diameter Brushed Chrome Round Wall Clock",124.2,3
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,OFF-EN-10001509,Office Supplies,Poly String Tie Envelopes,3.264,2
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,OFF-AR-10004042,Office Supplies,"BOSTON Model 1800 Electric Pencil Sharpeners, Putty/Woodgrain",86.304,6
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,OFF-BI-10001525,Office Supplies,"Acco Pressboard Covers with Storage Hooks, 14 7/8"" x 11"", Executive Red",6.858,6
US-2015-150630,2015-09-17,TB-21520,Consumer,United States,East,OFF-AR-10001683,Office Supplies,Lumber Crayons,15.76,2
CA-2017-107727,2017-10-19,MA-17560,Home Office,United States,Central,OFF-PA-10000249,Office Supplies,Easy-staple paper,29.472,3
CA-2016-117590,2016-12-08,GH-14485,Corporate,United States,Central,TEC-PH-10004977,Technology,GE 30524EE4,1097.544,7
CA-2016-117590,2016-12-08,GH-14485,Corporate,United States,Central,FUR-FU-10003664,Furniture,"Electrix Architect's Clamp-On Swing Arm Lamp, Black",190.92,5
CA-2015-117415,2015-12-27,SN-20710,Home Office,United States,Central,OFF-EN-10002986,Office Supplies,"#10-4 1/8"" x 9 1/2"" Premium Diagonal Seam Envelopes",113.328,9
CA-2015-117415,2015-12-27,SN-20710,Home Office,United States,Central,FUR-BO-10002545,Furniture,"Atlantic Metals Mobile 3-Shelf Bookcases, Custom Colors",532.3992,3
CA-2015-117415,2015-12-27,SN-20710,Home Office,United States,Central,FUR-CH-10004218,Furniture,"Global Fabric Manager's Chair, Dark Gray",212.058,3
CA-2015-117415,2015-12-27,SN-20710,Home Office,United States,Central,TEC-PH-10000486,Technology,Plantronics HL10 Handset Lifter,371.168,4
CA-2017-120999,2017-09-10,LC-16930,Corporate,United States,Central,TEC-PH-10004093,Technology,Panasonic Kx-TS550,147.168,4
CA-2016-101343,2016-07-17,RA-19885,Corporate,United States,West,OFF-ST-10003479,Office Supplies,"Eldon Base for stackable storage shelf, platinum",77.88,2
CA-2017-139619,2017-09-19,ES-14080,Corporate,United States,South,OFF-ST-10003282,Office Supplies,"Advantus 10-Drawer Portable Organizer, Chrome Metal Frame, Smoke Drawers",95.616,2
CA-2016-118255,2016-03-11,ON-18715,Corporate,United States,Central,TEC-AC-10000171,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 25/Pack",45.98,2
CA-2016-118255,2016-03-11,ON-18715,Corporate,United States,Central,OFF-BI-10003291,Office Supplies,Wilson Jones Leather-Like Binders with DublLock Round Rings,17.46,2
CA-2014-146703,2014-10-20,PO-18865,Consumer,United States,Central,OFF-ST-10001713,Office Supplies,"Gould Plastics 9-Pocket Panel Bin, 18-3/8w x 5-1/4d x 20-1/2h, Black",211.96,4
CA-2016-169194,2016-06-20,LH-16900,Consumer,United States,East,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,45,3
CA-2016-169194,2016-06-20,LH-16900,Consumer,United States,East,TEC-PH-10003988,Technology,"LF Elite 3D Dazzle Designer Hard Case Cover, Lf Stylus Pen and Wiper For Apple Iphone 5c Mini Lite",21.8,2
CA-2015-115742,2015-04-18,DP-13000,Consumer,United States,Central,OFF-BI-10004410,Office Supplies,"C-Line Peel & Stick Add-On Filing Pockets, 8-3/4 x 5-1/8, 10/Pack",38.22,6
CA-2015-115742,2015-04-18,DP-13000,Consumer,United States,Central,OFF-LA-10002762,Office Supplies,Avery 485,75.18,6
CA-2015-115742,2015-04-18,DP-13000,Consumer,United States,Central,FUR-FU-10001706,Furniture,Longer-Life Soft White Bulbs,6.16,2
CA-2015-115742,2015-04-18,DP-13000,Consumer,United States,Central,FUR-CH-10003061,Furniture,"Global Leather Task Chair, Black",89.99,1
CA-2016-105816,2016-12-11,JM-15265,Corporate,United States,East,OFF-FA-10000304,Office Supplies,Advantus Push Pins,15.26,7
CA-2016-105816,2016-12-11,JM-15265,Corporate,United States,East,TEC-PH-10002447,Technology,AT&T CL83451 4-Handset Telephone,1029.95,5
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,OFF-ST-10000604,Office Supplies,Home/Office Personal File Carts,208.56,6
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,OFF-PA-10001569,Office Supplies,Xerox 232,32.4,5
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,FUR-CH-10003968,Furniture,Novimex Turbo Task Chair,319.41,5
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,OFF-PA-10000587,Office Supplies,"Array Parchment Paper, Assorted Colors",14.56,2
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,TEC-AC-10002167,Technology,Imation 8gb Micro Traveldrive Usb 2.0 Flash Drive,30,2
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,OFF-BI-10001460,Office Supplies,Plastic Binding Combs,48.48,4
CA-2016-111682,2016-06-17,TB-21055,Consumer,United States,East,OFF-AR-10001868,Office Supplies,Prang Dustless Chalk Sticks,1.68,1
CA-2015-135545,2015-11-24,KM-16720,Consumer,United States,West,TEC-AC-10004633,Technology,"Verbatim 25 GB 6x Blu-ray Single Layer Recordable Disc, 3/Pack",13.98,2
CA-2015-135545,2015-11-24,KM-16720,Consumer,United States,West,OFF-BI-10001078,Office Supplies,"Acco PRESSTEX Data Binder with Storage Hooks, Dark Blue, 14 7/8"" X 11""",25.824,6
CA-2015-135545,2015-11-24,KM-16720,Consumer,United States,West,OFF-PA-10003892,Office Supplies,Xerox 1943,146.73,3
CA-2015-135545,2015-11-24,KM-16720,Consumer,United States,West,FUR-FU-10000397,Furniture,Luxo Economy Swing Arm Lamp,79.76,4
US-2015-164175,2015-04-30,PS-18970,Home Office,United States,Central,FUR-CH-10001146,Furniture,"Global Value Mid-Back Manager's Chair, Gray",213.115,5
CA-2014-106376,2014-12-05,BS-11590,Corporate,United States,West,OFF-AR-10002671,Office Supplies,"Hunt BOSTON Model 1606 High-Volume Electric Pencil Sharpener, Beige",1113.024,8
CA-2014-106376,2014-12-05,BS-11590,Corporate,United States,West,TEC-PH-10002726,Technology,netTALK DUO VoIP Telephone Service,167.968,4
CA-2016-119823,2016-06-04,KD-16270,Consumer,United States,South,OFF-PA-10000482,Office Supplies,"Snap-A-Way Black Print Carbonless Ruled Speed Letter, Triplicate",75.88,2
CA-2016-106075,2016-09-18,HM-14980,Consumer,United States,East,OFF-BI-10004654,Office Supplies,Avery Binding System Hidden Tab Executive Style Index Sets,4.616,1
CA-2017-114440,2017-09-14,TB-21520,Consumer,United States,Central,OFF-PA-10004675,Office Supplies,"Telephone Message Books with Fax/Mobile Section, 5 1/2"" x 3 3/16""",19.05,3
US-2015-134026,2015-04-26,JE-15745,Consumer,United States,South,FUR-CH-10000513,Furniture,High-Back Leather Manager's Chair,831.936,8
US-2015-134026,2015-04-26,JE-15745,Consumer,United States,South,FUR-FU-10003708,Furniture,"Tenex Traditional Chairmats for Medium Pile Carpet, Standard Lip, 36"" x 48""",97.04,2
US-2015-134026,2015-04-26,JE-15745,Consumer,United States,South,OFF-ST-10004123,Office Supplies,Safco Industrial Wire Shelving System,72.784,1
US-2017-118038,2017-12-09,KB-16600,Corporate,United States,Central,OFF-BI-10004182,Office Supplies,Economy Binders,1.248,3
US-2017-118038,2017-12-09,KB-16600,Corporate,United States,Central,FUR-FU-10000260,Furniture,"6"" Cubicle Wall Clock, Black",9.708,3
US-2017-118038,2017-12-09,KB-16600,Corporate,United States,Central,OFF-ST-10000615,Office Supplies,"SimpliFile Personal File, Black Granite, 15w x 6-15/16d x 11-1/4h",27.24,3
US-2014-147606,2014-11-26,JE-15745,Consumer,United States,Central,FUR-FU-10003194,Furniture,"Eldon Expressions Desk Accessory, Wood Pencil Holder, Oak",19.3,5
CA-2016-127208,2016-06-12,SC-20770,Corporate,United States,South,OFF-AP-10002118,Office Supplies,"1.7 Cubic Foot Compact ""Cube"" Office Refrigerators",208.16,1
