ID_Pedido,Data_Pedido,ID_Cliente,Segmento,Pais,Cidade,Estado,ID_Produto,Categoria,SubCategoria,Valor_Venda
CA-2017-152156,08/11/2017,CG-12520,Consumer,United States,Henderson,Kentucky,FUR-BO-10001798,Furniture,Bookcases,261.96
CA-2017-152156,08/11/2017,CG-12520,Consumer,United States,Henderson,Kentucky,FUR-CH-10000454,Furniture,Chairs,731.94
CA-2017-138688,12/06/2017,DV-13045,Corporate,United States,Los Angeles,California,OFF-LA-10000240,Office Supplies,Labels,14.62
US-2016-108966,11/10/2016,SO-20335,Consumer,United States,Fort Lauderdale,Florida,FUR-TA-10000577,Furniture,Tables,957.5775
US-2016-108966,11/10/2016,SO-20335,Consumer,United States,Fort Lauderdale,Florida,OFF-ST-10000760,Office Supplies,Storage,22.368
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,FUR-FU-10001487,Furniture,Furnishings,48.86
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,OFF-AR-10002833,Office Supplies,Art,7.28
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,TEC-PH-10002275,Technology,Phones,907.152
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,OFF-BI-10003910,Office Supplies,Binders,18.504
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,OFF-AP-10002892,Office Supplies,Appliances,114.9
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,FUR-TA-10001539,Furniture,Tables,1706.184
CA-2015-115812,09/06/2015,BH-11710,Consumer,United States,Los Angeles,California,TEC-PH-10002033,Technology,Phones,911.424
CA-2018-114412,15/04/2018,AA-10480,Consumer,United States,Concord,North Carolina,OFF-PA-10002365,Office Supplies,Paper,15.552
CA-2017-161389,05/12/2017,IM-15070,Consumer,United States,Seattle,Washington,OFF-BI-10003656,Office Supplies,Binders,407.976
US-2016-118983,22/11/2016,HP-14815,Home Office,United States,Fort Worth,Texas,OFF-AP-10002311,Office Supplies,Appliances,68.81
US-2016-118983,22/11/2016,HP-14815,Home Office,United States,Fort Worth,Texas,OFF-BI-10000756,Office Supplies,Binders,2.544
CA-2015-105893,11/11/2015,PK-19075,Consumer,United States,Madison,Wisconsin,OFF-ST-10004186,Office Supplies,Storage,665.88
CA-2015-167164,13/05/2015,AG-10270,Consumer,United States,West Jordan,Utah,OFF-ST-10000107,Office Supplies,Storage,55.5
CA-2015-143336,27/08/2015,ZD-21925,Consumer,United States,San Francisco,California,OFF-AR-10003056,Office Supplies,Art,8.56
CA-2015-143336,27/08/2015,ZD-21925,Consumer,United States,San Francisco,California,TEC-PH-10001949,Technology,Phones,213.48
CA-2015-143336,27/08/2015,ZD-21925,Consumer,United States,San Francisco,California,OFF-BI-10002215,Office Supplies,Binders,22.72
CA-2017-137330,09/12/2017,KB-16585,Corporate,United States,Fremont,Nebraska,OFF-AR-10000246,Office Supplies,Art,19.46
CA-2017-137330,09/12/2017,KB-16585,Corporate,United States,Fremont,Nebraska,OFF-AP-10001492,Office Supplies,Appliances,60.34
US-2018-156909,16/07/2018,SF-20065,Consumer,United States,Philadelphia,Pennsylvania,FUR-CH-10002774,Furniture,Chairs,71.372
CA-2016-106320,25/09/2016,EB-13870,Consumer,United States,Orem,Utah,FUR-TA-10000577,Furniture,Tables,1044.63
CA-2017-121755,16/01/2017,EH-13945,Consumer,United States,Los Angeles,California,OFF-BI-10001634,Office Supplies,Binders,11.648
