valor_aluguel,area_m2,ano_construcao,codigo_localidade,numero_banheiros,numero_cozinhas,codigo_bairro
120.97436,35,1939,1,0,0,1112
436.97433,104,1939,1,1,0,1112
355.7436,29,1971,2,0,0,2114
282.9231,39,1972,2,0,0,2148
807.2308,97,1985,1,0,0,2222
482.82053,62,1962,1,0,0,2222
323.69232,31,1965,1,0,0,2211
370.97437,61,1957,2,1,0,2142
373.69232,72,1978,1,0,0,2143
521.6923,75,1968,1,0,0,2142
644.2051,65,1956,2,0,0,2113
700.46155,91,1984,1,0,0,1402
781.1282,100,1959,1,0,0,1516
412.30768,32,1994,1,0,0,1541
330.30768,64,1962,1,0,0,1123
245.89743,63,1929,1,0,0,1132
557.02563,103,1955,1,1,0,1111
424.97437,73,1980,1,0,0,1133
330.20514,60,1957,1,0,0,1123
292.30768,58,1934,1,0,0,1133
333.53848,32,1972,1,0,0,1134
322.2564,81,1996,1,0,1,1212
185.48718,39,1935,1,0,0,1132
472.05127,108,1955,1,1,0,1111
685.5385,87,1979,2,1,1,2145
509.1282,60,1939,2,0,0,2145
688.97437,125,1979,1,0,0,2412
205.33333,67,1964,1,0,0,2314
368.76923,80,1972,1,0,0,2314
636.4103,74,1957,1,0,0,2414
237.89743,42,1962,1,0,0,2314
413.23077,39,1996,1,0,0,2314
846.1026,90,1983,2,0,1,2144
375.6923,80,1971,1,0,0,1012
329.89743,41,1960,1,0,0,2421
303.7949,59,1960,1,0,0,2421
925.2821,107,1918,2,0,0,231
483.02567,63,1929,1,0,0,210
1150.1539,156,1918,2,0,0,210
531.3846,110,1918,2,0,0,232
664.0513,64,1918,3,0,0,911
312.6154,75,1960,3,0,0,924
377.58975,54,1934,2,0,0,922
521.53845,70,1970,1,0,1,1022
471.84613,71,1970,1,0,0,2314
345.89743,33,1967,3,0,0,964
114.46154,35,1939,1,0,0,2314
326.35898,27,1972,2,0,0,922
390.51282,48,1972,3,0,0,911
542.71796,54,1986,2,0,0,964
336.97433,30,1972,1,0,0,2121
486.05127,86,1965,1,0,0,963
433.28207,60,1957,2,0,0,961
713.53845,87,1981,1,0,0,1361
537.3334,78,1991,1,0,0,1346
