horas_estudo_mes,salario
57.0,6813.0
48.0,6855.0
60.0,5801.0
73.0,7431.0
46.0,5475.0
46.0,5556.0
74.0,6904.0
62.0,6168.0
43.0,5674.0
58.0,5985.0
43.0,5785.0
43.0,5625.0
54.0,6081.0
21.0,4096.0
24.0,4412.0
42.0,5978.0
35.0,5500.0
55.0,5761.0
36.0,5350.0
29.0,5326.0
72.0,6265.0
47.0,6122.0
51.0,5719.0
29.0,5235.0
42.0,5218.0
52.0,5198.0
33.0,4336.0
56.0,6324.0
41.0,5680.0
46.0,5348.0
41.0,5869.0
78.0,6569.0
50.0,5967.0
34.0,4594.0
62.0,6274.0
32.0,5124.0
53.0,5720.0
21.0,4358.0
30.0,5503.0
53.0,5862.0
61.0,6968.0
53.0,5585.0
48.0,6165.0
45.0,6471.0
28.0,3664.0
39.0,5052.0
43.0,5939.0
66.0,6698.0
55.0,6436.0
24.0,4398.0
55.0,6293.0
44.0,5622.0
40.0,6084.0
59.0,6577.0
65.0,6919.0
64.0,6494.0
37.0,5106.0
45.0,5534.0
55.0,6447.0
65.0,6540.0
43.0,5795.0
47.0,6888.0
33.0,5586.0
32.0,4937.0
62.0,7201.0
70.0,6796.0
49.0,4931.0
65.0,6246.0
55.0,5315.0
40.0,5324.0
55.0,6259.0
73.0,7988.0
49.0,6113.0
73.0,7040.0
11.0,4465.0
62.0,5494.0
51.0,6168.0
46.0,6185.0
51.0,5311.0
20.0,5072.0
47.0,6019.0
55.0,6042.0
72.0,7416.0
42.0,6735.0
38.0,5491.0
42.0,5724.0
64.0,6470.0
55.0,5825.0
42.0,6015.0
58.0,5972.0
51.0,6086.0
65.0,6511.0
39.0,5689.0
45.0,5917.0
44.0,6219.0
28.0,4645.0
54.0,6065.0
54.0,5711.0
50.0,5778.0
46.0,5989.0
29.0,5328.0
44.0,5239.0
45.0,6185.0
38.0,6078.0
48.0,6107.0
56.0,7238.0
78.0,7013.0
53.0,5528.0
54.0,5311.0
49.0,6698.0
21.0,4877.0
50.0,5972.0
51.0,6190.0
87.0,7287.0
47.0,7073.0
55.0,6315.0
49.0,6005.0
32.0,5463.0
67.0,7091.0
61.0,6662.0
62.0,6205.0
36.0,5536.0
71.0,7991.0
29.0,5623.0
59.0,7247.0
83.0,7394.0
35.0,4755.0
42.0,5537.0
51.0,6078.0
42.0,6147.0
27.0,4004.0
51.0,6815.0
34.0,5121.0
57.0,6137.0
36.0,4794.0
73.0,6323.0
38.0,5812.0
45.0,5787.0
62.0,5955.0
32.0,4452.0
53.0,5982.0
70.0,7835.0
26.0,4670.0
53.0,5398.0
54.0,6077.0
62.0,6464.0
31.0,3702.0
30.0,4973.0
58.0,6285.0
54.0,6548.0
54.0,7124.0
55.0,6813.0
40.0,5366.0
53.0,5597.0
54.0,7487.0
39.0,5480.0
78.0,7407.0
57.0,6338.0
32.0,5199.0
60.0,6428.0
35.0,4963.0
62.0,6327.0
67.0,6834.0
38.0,5128.0
64.0,6344.0
56.0,6353.0
62.0,6473.0
78.0,8152.0
46.0,4475.0
39.0,5996.0
37.0,5973.0
38.0,4363.0
49.0,5779.0
55.0,6064.0
54.0,5496.0
62.0,6211.0
50.0,5445.0
72.0,7976.0
46.0,6268.0
91.0,8686.0
59.0,6811.0
37.0,4785.0
34.0,4938.0
57.0,6595.0
47.0,5239.0
61.0,6906.0
57.0,6230.0
49.0,5763.0
37.0,5705.0
27.0,5072.0
43.0,5470.0
63.0,7230.0
53.0,5609.0
31.0,5358.0
53.0,6447.0
56.0,6145.0
37.0,5513.0
52.0,5474.0
51.0,6512.0
33.0,5058.0
55.0,5989.0
58.0,6925.0
66.0,6448.0
66.0,6096.0
29.0,4172.0
36.0,5603.0
58.0,5760.0
58.0,7277.0
58.0,5359.0
100.0,9348.0
59.0,6556.0
67.0,6802.0
64.0,6428.0
60.0,6700.0
45.0,5731.0
61.0,7102.0
38.0,5457.0
46.0,5875.0
43.0,5468.0
51.0,6022.0
85.0,7904.0
22.0,3745.0
60.0,5826.0
26.0,5172.0
43.0,5735.0
66.0,6708.0
51.0,6059.0
34.0,5374.0
39.0,5180.0
60.0,6111.0
39.0,5548.0
53.0,5661.0
51.0,6254.0
40.0,4649.0
82.0,8115.0
60.0,6736.0
20.0,4628.0
53.0,6641.0
40.0,6333.0
63.0,7157.0
38.0,4480.0
48.0,5260.0
58.0,6088.0
63.0,6663.0
32.0,5359.0
45.0,5387.0
43.0,5743.0
40.0,5122.0
76.0,6994.0
56.0,5597.0
31.0,4588.0
64.0,6024.0
82.0,7112.0
65.0,7277.0
27.0,4375.0
43.0,6966.0
69.0,7197.0
39.0,5542.0
57.0,5921.0
62.0,6950.0
36.0,5012.0
49.0,6011.0
1.0,4830.0
35.0,5202.0
46.0,6375.0
31.0,4698.0
74.0,7183.0
29.0,5835.0
43.0,5337.0
52.0,7006.0
72.0,7454.0
28.0,4619.0
67.0,7166.0
50.0,6486.0
35.0,5561.0
57.0,5565.0
53.0,5786.0
41.0,5426.0
51.0,6013.0
44.0,6010.0
52.0,6189.0
60.0,5832.0
74.0,7390.0
31.0,5355.0
82.0,7880.0
21.0,5090.0
48.0,6317.0
59.0,6680.0
54.0,6165.0
41.0,4720.0
47.0,6065.0
43.0,5754.0
41.0,5686.0
63.0,6012.0
55.0,5709.0
40.0,6027.0
63.0,6630.0
55.0,6591.0
62.0,6614.0
59.0,6465.0
38.0,5869.0
42.0,5342.0
61.0,6598.0
59.0,6219.0
50.0,5783.0
52.0,5945.0
69.0,7061.0
41.0,5311.0
58.0,7028.0
47.0,5403.0
47.0,5757.0
66.0,6580.0
62.0,7323.0
62.0,6698.0
70.0,7516.0
50.0,5257.0
60.0,6634.0
45.0,6195.0
55.0,6291.0
48.0,6433.0
51.0,5791.0
59.0,7155.0
38.0,6549.0
81.0,7369.0
35.0,5027.0
32.0,5827.0
67.0,7640.0
62.0,6339.0
59.0,6240.0
59.0,6309.0
50.0,5328.0
37.0,4891.0
51.0,5548.0
40.0,5116.0
65.0,6733.0
48.0,6017.0
38.0,6175.0
45.0,5251.0
56.0,6792.0
42.0,5493.0
38.0,5375.0
54.0,6537.0
54.0,5639.0
42.0,5791.0
43.0,5733.0
53.0,6396.0
28.0,5045.0
29.0,6178.0
39.0,5131.0
47.0,5585.0
55.0,5938.0
72.0,6822.0
63.0,6331.0
48.0,6495.0
50.0,6710.0
35.0,4965.0
50.0,5584.0
46.0,6036.0
55.0,5974.0
38.0,5716.0
58.0,6501.0
73.0,6392.0
48.0,6674.0
56.0,7198.0
60.0,6194.0
44.0,5506.0
53.0,6293.0
50.0,6167.0
51.0,6379.0
38.0,6405.0
50.0,5912.0
57.0,5951.0
72.0,6410.0
64.0,6335.0
82.0,7583.0
38.0,6297.0
63.0,6391.0
53.0,6262.0
83.0,7642.0
38.0,5994.0
37.0,6613.0
41.0,5285.0
18.0,4155.0
42.0,6122.0
39.0,5791.0
52.0,7023.0
55.0,6542.0
78.0,7220.0
64.0,6995.0
41.0,6104.0
37.0,5760.0
57.0,6604.0
30.0,5533.0
77.0,7935.0
68.0,7591.0
43.0,5974.0
24.0,4616.0
70.0,7073.0
48.0,6503.0
69.0,6542.0
26.0,4984.0
41.0,5353.0
50.0,6014.0
51.0,6689.0
43.0,5746.0
59.0,6473.0
34.0,4520.0
48.0,6273.0
52.0,6423.0
58.0,7482.0
61.0,6396.0
33.0,5260.0
27.0,4975.0
69.0,7739.0
55.0,6202.0
39.0,5590.0
73.0,7454.0
52.0,6193.0
68.0,6677.0
51.0,6147.0
81.0,8087.0
76.0,6787.0
46.0,5866.0
65.0,6400.0
60.0,7098.0
71.0,6288.0
36.0,5021.0
60.0,6689.0
66.0,7583.0
24.0,4667.0
32.0,4822.0
19.0,5391.0
46.0,5076.0
61.0,5451.0
73.0,7370.0
51.0,5799.0
74.0,6689.0
29.0,5304.0
24.0,4822.0
49.0,5668.0
56.0,5660.0
50.0,6436.0
19.0,4775.0
49.0,5900.0
30.0,5923.0
60.0,5965.0
55.0,5487.0
36.0,4954.0
42.0,5577.0
34.0,5322.0
49.0,5829.0
64.0,6876.0
35.0,4624.0
58.0,7122.0
42.0,5559.0
38.0,5959.0
48.0,6071.0
34.0,5428.0
42.0,5885.0
32.0,5324.0
79.0,7771.0
51.0,6715.0
40.0,5598.0
53.0,6505.0
48.0,5855.0
47.0,6570.0
59.0,6112.0
61.0,7450.0
42.0,5580.0
41.0,4835.0
46.0,5864.0
15.0,3909.0
27.0,5270.0
71.0,6724.0
75.0,7027.0
46.0,4855.0
59.0,6224.0
55.0,5038.0
96.0,7508.0
67.0,7230.0
48.0,6293.0
36.0,5513.0
26.0,4317.0
53.0,6126.0
39.0,5448.0
29.0,4371.0
40.0,6252.0
34.0,5639.0
75.0,7140.0
63.0,6663.0
50.0,6104.0
72.0,6079.0
51.0,5926.0
37.0,5009.0
73.0,6649.0
58.0,6259.0
34.0,6099.0
47.0,6170.0
37.0,5064.0
29.0,5236.0
